id;origtext;enabled;is_default;default_terms_id;Group Value
7728;LiveCycle;1;0;0;Application Platforms
7729;QADirector;1;0;0;Not Yet Defined
7732;Access;1;0;5438;Database & Business Intelligence
7734;ICMP;1;0;0;Communications & Networking
7736;Stripes Framework;1;0;0;Libraries, Frameworks & Software Standards
7737;Augmented Reality;1;1;0;Miscellaneous
7741;CollabNet;1;0;0;Vendors
7744;Novell Identity Manager;1;1;0;Systems Management
7745;CDMA2000;1;0;0;Communications & Networking
7746;Nortel Meridian;1;1;0;Communications & Networking
7747;Orchard;1;0;0;Vendors
7750;DATAllegro;1;0;0;Not Yet Defined
7751;SimpleDB;1;0;0;Database & Business Intelligence
7752;SubSonic;1;0;0;Libraries, Frameworks & Software Standards
7754;MIMEsweeper;1;0;0;Systems Management
7755;VXML;1;1;0;Libraries, Frameworks & Software Standards
7758;Ehcache;1;0;0;Libraries, Frameworks & Software Standards
7760;SAP PLM;1;1;0;Business Applications
7763;Flash Media Server;1;1;0;Application Platforms
7767;Ionix;1;0;0;Not Yet Defined
7772;Q.931;1;0;0;Communications & Networking
7773;DEFINITY;1;0;0;Communications & Networking
7774;Global One;1;0;0;Business Applications
7775;GCIA;1;0;0;Qualifications
7780;Kaseya;1;0;0;Vendors
7783;Java ME;1;0;5693;Libraries, Frameworks & Software Standards
7784;EasyScreen;1;0;0;Not Yet Defined
7793;UC4;1;0;0;Not Yet Defined
7794;CoffeeScript;1;1;0;Programming Languages
7795;SRDF;1;0;0;System Software
7797;IGRP;1;0;0;Communications & Networking
7804;SugarCRM;1;1;0;Application Platforms
7809;Sage BI;1;1;0;Business Applications
7814;CM System;1;0;0;Not Yet Defined
7815;Syclo;1;0;0;Vendors
7818;EFTPOS;1;0;0;Miscellaneous
7823;Nmap;1;0;0;System Software
7824;Tripwire;1;0;0;Vendors
7826;Oracle iRecruitment;1;1;0;Business Applications
7830;TSYS;1;0;0;Vendors
7835;FPGA;1;1;0;Not Yet Defined
7836;OPNET;0;0;0;Systems Management
7838;VSAM;1;0;0;Miscellaneous
7842;Anite;1;0;0;Vendors
7843;SAX;1;0;0;Libraries, Frameworks & Software Standards
7845;MBCS;1;0;0;Qualifications
7847;TIBCO iProcess;1;1;0;Business Applications
7849;arcHouse;1;0;0;Business Applications
7850;Axapta;1;1;0;Business Applications
7852;SGML;1;0;0;Not Yet Defined
7854;ATG Dynamo;1;0;0;Application Platforms
7855;DECT;1;0;0;Communications & Networking
7862;QARun;1;0;0;Development Applications
7864;KANA;1;0;0;Vendors
7865;JBuilder;1;1;0;Development Applications
7872;TYPO3;1;0;0;Application Platforms
7873;BREW;1;0;0;Libraries, Frameworks & Software Standards
7879;CSLA.NET;1;1;0;Not Yet Defined
7881;Trend Micro;1;0;0;Vendors
7883;DICOM;1;0;0;Quality Assurance & Compliance
7885;VisionPLUS;1;0;0;Business Applications
7887;NPfIT;1;0;0;Not Yet Defined
7890;Zen Cart;1;1;0;Business Applications
7892;PowerConvert;1;0;0;Not Yet Defined
7893;EDIFACT;1;0;0;Libraries, Frameworks & Software Standards
7895;Tieto;1;0;0;Vendors
7898;C-shell;1;0;0;Programming Languages
7901;Fusebox;1;0;0;Libraries, Frameworks & Software Standards
